,name,company_number,jurisdiction_code,incorporation_date,dissolution_date,company_type,registry_url,branch,branch_status,inactive,current_status,created_at,updated_at,retrieved_at,opencorporates_url,previous_names,alternative_names,source,registered_address,registered_address_in_full,industry_codes,restricted_for_marketing,native_company_number
2028,"""BIG K"" SOUND SYSTEM",22006G5,us_hi,1993-10-06,,General Domestic Partnership,https://hbe.ehawaii.gov/documents/business.html?fileNumber=22006G5,,,True,Dissolved,2014-05-21T22:23:42+00:00,2024-10-06T14:18:17+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/22006G5,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2031,"""C"" ACTIVITIES, INC.",60245D1,us_hi,1985-04-18,,Domestic Profit Corporation,https://hbe.ehawaii.gov/documents/business.html?fileNumber=60245D1,,,False,Active,2014-05-21T22:36:50+00:00,2024-10-06T22:24:41+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/60245D1,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2054,"""HAIR DESIGNER BY LISA"", INCORPORATED",95003D1,us_hi,1994-04-04,,Domestic Profit Corporation,https://hbe.ehawaii.gov/documents/business.html?fileNumber=95003D1,,,True,Inv. Dissolved,2014-05-22T00:28:30+00:00,2024-10-07T04:04:05+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/95003D1,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2066,"""ILLUMINATING LAW"" MAJESTAS MATIMA A SOVEREIGN ENTITY A MATRIX ECCLESIA AKA MAMA SOUL",221469D9,us_hi,2008-01-10,,Corporation Sole,https://hbe.ehawaii.gov/documents/business.html?fileNumber=221469D9,,,True,Inv. Dissolved,2014-05-22T01:05:19+00:00,2024-10-07T16:54:52+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/221469D9,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2079,"""MAKE SENSE"" CORP.",320121D1,us_hi,2021-07-26,,Domestic Profit Corporation,https://hbe.ehawaii.gov/documents/business.html?fileNumber=320121D1,,,False,1,2021-07-31T10:44:16+00:00,2024-10-08T01:59:47+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/320121D1,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2083,"""MAUI TIME"" VACATION RENTALS LLC",130771C5,us_hi,2015-06-05,,Domestic Limited Liability Company (LLC),https://hbe.ehawaii.gov/documents/business.html?fileNumber=130771C5,,,True,Adm. Terminated,2016-08-31T09:15:00+00:00,2024-10-07T12:00:08+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/130771C5,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2093,"""SAY IT WITH LOVE""",21822G5,us_hi,1993-06-24,,General Domestic Partnership,https://hbe.ehawaii.gov/documents/business.html?fileNumber=21822G5,,,True,Inv. Cancelled,2014-05-22T04:42:04+00:00,2024-10-06T14:14:58+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/21822G5,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2107,"""THE SEED PROJECT""",227740D2,us_hi,2009-10-29,,Domestic Nonprofit Corporation,https://hbe.ehawaii.gov/documents/business.html?fileNumber=227740D2,,,True,Inv. Dissolved,2014-05-22T04:46:02+00:00,2024-10-07T17:29:37+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/227740D2,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2111,"""UNCLE DOC'S"" ISLAND CREATIONS LLC",316209C5,us_hi,2024-03-07,,Domestic Limited Liability Company (LLC),https://hbe.ehawaii.gov/documents/business.html?fileNumber=316209C5,,,False,Active,2024-03-22T05:23:46+00:00,2024-10-08T01:40:18+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/316209C5,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2128,"#436 PIONEER EXCHANGE ACCOMMODATION TITLEHOLDER, LLC",331240C6,us_hi,2024-09-04,,Foreign Limited Liability Company (LLC),https://hbe.ehawaii.gov/documents/business.html?fileNumber=331240C6,F,branch of an out-of-jurisdiction company,False,Active,2024-09-21T00:28:25+00:00,2024-10-08T02:27:20+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/331240C6,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2151,$99 BRAKES & ALIGNMENT LLC,157283C5,us_hi,2016-07-14,,Domestic Limited Liability Company (LLC),https://hbe.ehawaii.gov/documents/business.html?fileNumber=157283C5,,,True,Adm. Terminated,2017-06-30T01:17:53+00:00,2024-10-07T12:47:54+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/157283C5,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2153,$LEGACY$ BUILT LLC,311916C5,us_hi,2024-01-03,,Domestic Limited Liability Company (LLC),https://hbe.ehawaii.gov/documents/business.html?fileNumber=311916C5,,,False,Active,2024-01-13T11:17:50+00:00,2024-10-08T01:27:41+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/311916C5,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2162,"'?INA ADVOCATES, LLC",321671C5,us_hi,2024-06-04,,Domestic Limited Liability Company (LLC),https://hbe.ehawaii.gov/documents/business.html?fileNumber=321671C5,,,False,Active,2024-06-08T23:07:48+00:00,2024-10-08T02:08:51+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/321671C5,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2173,'?INA LA'AHUA LLC,246028C5,us_hi,2020-11-23,,Domestic Limited Liability Company (LLC),https://hbe.ehawaii.gov/documents/business.html?fileNumber=246028C5,,,True,Adm. Terminated,2021-05-13T00:47:00+00:00,2024-10-07T19:42:37+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/246028C5,[],"[{'company_name': ""'?INA LA'AHUA FARMS"", 'type': 'trading'}]","{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2193,'A'A CONSTRUCTION LLC,306068C5,us_hi,2023-09-20,,Domestic Limited Liability Company (LLC),https://hbe.ehawaii.gov/documents/business.html?fileNumber=306068C5,,,True,Terminated,2023-10-06T12:36:31+00:00,2024-10-08T01:07:02+00:00,2024-10-05T08:45:21+00:00,https://opencorporates.com/companies/us_hi/306068C5,[],[],"{'publisher': 'Hawaii Department Of Commerce & Consumer Affairs', 'url': 'https://hbe.ehawaii.gov/listbuilder/documentation', 'retrieved_at': '2024-10-05T08:45:21+00:00'}",,,[],,
2207,"""6R"" SERVICE, INC. (THE)",0000138072,us_id,1970-02-16,1974-11-30,General Business Corporation (D),,,,True,Inactive Forfeited,2012-02-10T21:43:44+00:00,2024-08-17T18:12:33+00:00,2024-08-15T11:27:17+00:00,https://opencorporates.com/companies/us_id/0000138072,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-15T11:27:17+00:00'}",,,[],,
2213,"""A REFUGE"" MINISTRIES, INC.",0000411698,us_id,2000-07-17,2008-10-16,Non-Profit Corporation (D),,,,True,Inactive Dissolved,2012-02-10T09:15:55+00:00,2024-08-24T17:32:37+00:00,2024-08-23T12:40:30+00:00,https://opencorporates.com/companies/us_id/0000411698,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-23T12:40:30+00:00'}","{'street_address': '2200 N YELLOWSTONE HWY IDAHO FALLS, ID 83401', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","2200 N YELLOWSTONE HWY IDAHO FALLS, ID 83401",[],,
2218,"""A"" TEAM INC. (THE)",0000305140,us_id,1992-05-20,1994-12-01,General Business Corporation (D),,,,True,Inactive Forfeited,2012-02-10T09:15:58+00:00,2024-09-28T19:33:35+00:00,2024-09-26T07:16:44+00:00,https://opencorporates.com/companies/us_id/0000305140,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-09-26T07:16:44+00:00'}","{'street_address': ""226 E. IRONWOOD STE. 4-174 COEUR D'ALENE, ID 83814"", 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","226 E. IRONWOOD STE. 4-174 COEUR D'ALENE, ID 83814",[],,
2227,"""AUTOMATIC"" SPRINKLER CORPORATION OF AMERICA",0000136126,us_id,1969-08-07,1994-10-07,Foreign Business Corporation,,F,branch of an out-of-jurisdiction company,True,Inactive Withdrawn,2012-02-10T09:16:02+00:00,2024-08-17T18:14:42+00:00,2024-08-13T09:32:20+00:00,https://opencorporates.com/companies/us_id/0000136126,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-13T09:32:20+00:00'}","{'street_address': '4420 SHERWIN ROAD\nWILLOUGHBY, OH 44094', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","4420 SHERWIN ROAD
WILLOUGHBY, OH 44094",[],,
2238,"""C O L T"" INC.",0000376167,us_id,1998-01-30,2004-04-07,Non-Profit Corporation (D),,,,True,Inactive Dissolved (Administrative),2012-02-10T09:16:06+00:00,2024-07-16T16:07:03+00:00,2024-07-16T14:40:59+00:00,https://opencorporates.com/companies/us_id/0000376167,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-07-16T14:40:59+00:00'}","{'street_address': '3317 - 11TH ST LEWISTON, ID 83501', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","3317 - 11TH ST LEWISTON, ID 83501",[],,
2239,"""C"" INVESTMENT CO., LLC",0000282620,us_id,2010-02-25,2024-05-03,Limited Liability Company (D),,,,True,Inactive Dissolved (Administrative),2012-02-10T09:16:06+00:00,2024-07-07T18:51:02+00:00,2024-07-05T10:46:05+00:00,https://opencorporates.com/companies/us_id/0000282620,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-07-05T10:46:05+00:00'}","{'street_address': '453 S FITNESS PLAZA\nEAGLE, ID 83616', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","453 S FITNESS PLAZA
EAGLE, ID 83616",[],,
2244,"""CELTIC KNOTS"" A FILM L.P.",0000029786,us_id,2004-04-23,2021-07-14,Limited Partnership (D),,,,True,Inactive Dissolved (Administrative),2012-02-10T09:16:07+00:00,2024-07-28T14:08:16+00:00,2024-07-27T11:59:27+00:00,https://opencorporates.com/companies/us_id/0000029786,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-07-27T11:59:27+00:00'}","{'street_address': '5557 FAIRFAX LANE\nBOISE, ID 83714', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","5557 FAIRFAX LANE
BOISE, ID 83714",[],,
2251,"""D"" BUSTER LLC",0000087325,us_id,2003-06-12,2006-09-11,Limited Liability Company (D),,,,True,Inactive Dissolved (Administrative),2012-02-10T09:16:09+00:00,2024-07-01T16:38:07+00:00,2024-06-28T11:48:34+00:00,https://opencorporates.com/companies/us_id/0000087325,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-06-28T11:48:34+00:00'}","{'street_address': '18684 N HWY 41\nRATHDRUM, ID 83858', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","18684 N HWY 41
RATHDRUM, ID 83858",[],,
2252,"""DA VINCI PAINTING INC.""",0000502450,us_id,2006-03-15,2007-06-08,General Business Corporation (D),,,,True,Inactive Dissolved (Administrative),2012-02-10T09:16:10+00:00,2024-09-15T16:08:07+00:00,2024-09-14T11:19:26+00:00,https://opencorporates.com/companies/us_id/0000502450,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-09-14T11:19:26+00:00'}","{'street_address': ""683 WHISPERING PINES #14 COEUR D'ALENE, ID 83814"", 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","683 WHISPERING PINES #14 COEUR D'ALENE, ID 83814",[],,
2268,"""HELPING HAND FUND, INC""",0000592175,us_id,2012-10-16,,Non-Profit Corporation (D),,,,False,Active Good Standing,2015-11-01T03:19:55+00:00,2024-09-28T18:48:01+00:00,2024-09-27T02:55:53+00:00,https://opencorporates.com/companies/us_id/0000592175,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-09-27T02:55:53+00:00'}","{'street_address': '800 W OVERLAND RD #2 MERIDIAN, ID 83642', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","800 W OVERLAND RD #2 MERIDIAN, ID 83642",[],,
2282,"""LEAPS & BOUNDS"" LLC",0000034368,us_id,1998-06-24,,Limited Liability Company (D),,,,False,Active Existing,2012-02-10T09:16:17+00:00,2024-08-05T23:15:51+00:00,2024-08-05T04:05:07+00:00,https://opencorporates.com/companies/us_id/0000034368,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-05T04:05:07+00:00'}","{'street_address': '5839 N YAQUINA HEAD WAY\nGARDEN CITY, ID 83714', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","5839 N YAQUINA HEAD WAY
GARDEN CITY, ID 83714",[],,
2295,"""Making Your Mark"" Custom Laser Design, LLC",0004129794,us_id,2021-01-11,,Limited Liability Company (D),,,,False,Active Existing,2021-01-26T03:26:11+00:00,2024-08-05T21:54:12+00:00,2024-08-01T09:37:38+00:00,https://opencorporates.com/companies/us_id/0004129794,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-01T09:37:38+00:00'}","{'street_address': '365 N LARRI LEE ST\nPOST FALLS, ID 83854', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","365 N LARRI LEE ST
POST FALLS, ID 83854",[],,
2297,"""NU HOUSE CORPORATION OF DELTA GAMMA""",0000047770,us_id,1916-06-14,,Non-Profit Corporation (D),,,,False,Active Good Standing,2012-02-10T09:16:22+00:00,2024-08-24T18:27:20+00:00,2024-08-22T05:13:43+00:00,https://opencorporates.com/companies/us_id/0000047770,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-22T05:13:43+00:00'}","{'street_address': '3220 RIVERSIDE DR SUITE A-2 COLUMBUS, OH 43221', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","3220 RIVERSIDE DR SUITE A-2 COLUMBUS, OH 43221",[],,
2347,"#1 GOLDEN OPPORTUNITY, LLC",0000169268,us_id,2006-07-13,2007-10-10,Limited Liability Company (D),,,,True,Inactive Dissolved (Administrative),2012-02-10T09:16:37+00:00,2024-07-28T14:01:25+00:00,2024-07-25T11:11:59+00:00,https://opencorporates.com/companies/us_id/0000169268,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-07-25T11:11:59+00:00'}","{'street_address': '2530 W WILLIAMSPORT LN #102\nBOISE, ID 83705', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","2530 W WILLIAMSPORT LN #102
BOISE, ID 83705",[],,
2362,"#111 Capella Exchange Accommodation Titleholder, LLC",0005158004,us_id,2023-03-16,2024-06-12,Limited Liability Company (D),,,,True,Inactive Dissolved (Administrative),2023-11-25T19:00:29+00:00,2024-09-21T16:19:19+00:00,2024-09-21T03:30:36+00:00,https://opencorporates.com/companies/us_id/0005158004,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-09-21T03:30:36+00:00'}","{'street_address': '163 FOURTH AVE N\nTWIN FALLS, ID 83301', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","163 FOURTH AVE N
TWIN FALLS, ID 83301",[],,
2366,"#115 Capella Exchange Accommodation Titleholder, LLC",0005560833,us_id,2024-01-12,2024-07-16,Limited Liability Company (D),,,,True,Inactive Dissolved,2024-03-16T14:56:59+00:00,2024-08-05T21:21:22+00:00,2024-08-01T03:24:07+00:00,https://opencorporates.com/companies/us_id/0005560833,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-01T03:24:07+00:00'}","{'street_address': '163 FOURTH AVE N\nTWIN FALLS, ID 83301', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","163 FOURTH AVE N
TWIN FALLS, ID 83301",[],,
2367,"#116 Capella Exchange Accommodation Titleholder, LLC",0005732884,us_id,2024-05-09,,Limited Liability Company (D),,,,False,Active Existing,2024-05-12T20:31:42+00:00,2024-09-09T11:25:53+00:00,2024-09-06T05:57:38+00:00,https://opencorporates.com/companies/us_id/0005732884,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-09-06T05:57:38+00:00'}","{'street_address': '163 FOURTH AVE NORTH\nTWIN FALLS, ID 83301', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","163 FOURTH AVE NORTH
TWIN FALLS, ID 83301",[],,
2368,"#117 Capella Exchange Accommodation Titleholder, LLC",0005866533,us_id,2024-08-20,,Limited Liability Company (D),,,,False,Active Existing,2024-08-24T15:53:22+00:00,2024-08-24T15:53:22+00:00,2024-08-23T02:00:16+00:00,https://opencorporates.com/companies/us_id/0005866533,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-23T02:00:16+00:00'}","{'street_address': '163 FOURTH AVE NORTH\nTWIN FALLS, ID 83301-0486', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","163 FOURTH AVE NORTH
TWIN FALLS, ID 83301-0486",[],,
2369,"#118 Capella Exchange Accommodation Titleholder, LLC",0005866539,us_id,2024-08-20,,Limited Liability Company (D),,,,False,Active Existing,2024-08-24T15:53:22+00:00,2024-08-24T15:53:22+00:00,2024-08-23T02:00:24+00:00,https://opencorporates.com/companies/us_id/0005866539,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-08-23T02:00:24+00:00'}","{'street_address': '163 FOURTH AVE NORTH\nTWIN FALLS, ID 83301', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","163 FOURTH AVE NORTH
TWIN FALLS, ID 83301",[],,
2370,"#119 Capella Exchange Accommodation Titleholder, LLC",0005909785,us_id,2024-09-23,,Limited Liability Company (D),,,,False,Active Existing,2024-09-28T17:38:57+00:00,2024-09-28T17:38:57+00:00,2024-09-26T02:00:23+00:00,https://opencorporates.com/companies/us_id/0005909785,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-09-26T02:00:23+00:00'}","{'street_address': '163 FOURTH AVE NORTH\nTWIN FALLS, ID 83303', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","163 FOURTH AVE NORTH
TWIN FALLS, ID 83303",[],,
2372,"#120 Capella Exchange Accommodation Titleholder, LLC",0005912370,us_id,2024-09-26,,Limited Liability Company (D),,,,False,Active Existing,2024-10-03T15:37:54+00:00,2024-10-03T15:37:54+00:00,2024-10-01T02:00:18+00:00,https://opencorporates.com/companies/us_id/0005912370,[],[],"{'publisher': 'Idaho Secretary of State', 'url': 'https://sosbiz.idaho.gov/search/business', 'retrieved_at': '2024-10-01T02:00:18+00:00'}","{'street_address': '163 FOURTH AVE NORTH\nTWIN FALLS, ID 83301', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","163 FOURTH AVE NORTH
TWIN FALLS, ID 83301",[],,
2400,! EXCLAMATION COMPANY,CORP_62192437,us_il,2002-04-29,2003-09-02,Domestic BCA,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-11T00:48:24+00:00,2024-10-08T15:44:28+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_62192437,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,62192437
2408,""" A A A "" PRODUCTIONS INC.",CORP_57782307,us_il,1994-04-21,1995-09-01,Domestic BCA,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-11T05:23:10+00:00,2024-10-07T03:59:35+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_57782307,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,57782307
2415,""" AMA TRAVEL INTERNATIONAL, INC. """,CORP_56842888,us_il,1992-05-20,2002-10-01,Domestic BCA,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-11T06:19:11+00:00,2024-10-07T06:00:25+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_56842888,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,56842888
2436,""" PHANTOM TRANSPORTATION, INC.""",CORP_69882544,us_il,2014-10-28,2018-03-09,Domestic BCA,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-10T17:06:23+00:00,2024-10-08T06:13:28+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_69882544,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,69882544
2459,""" WICO CORPORATION """,CORP_29103704,us_il,1946-08-08,1987-03-09,Domestic BCA,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-11T11:43:55+00:00,2024-10-09T14:09:12+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_29103704,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,29103704
2490,"""4 EVER SUNNY"", INC.",CORP_53834876,us_il,1985-05-02,1987-10-01,Domestic BCA,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-11T09:09:17+00:00,2024-10-09T08:33:36+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_53834876,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,53834876
2503,"""8025 MILWAUKEE AVE. INC.""",CORP_54076037,us_il,1985-12-16,1987-05-01,Domestic BCA,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-11T08:56:53+00:00,2024-10-09T07:54:03+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_54076037,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,54076037
2511,"""A BETTER SEAT, INC.""",CORP_59406248,us_il,1997-05-12,1999-10-01,Domestic BCA,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-11T03:38:50+00:00,2024-10-08T20:47:41+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_59406248,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,59406248
2519,"""A PLACE FOR GRACE"" NFP",CORP_72173708,us_il,2019-01-23,2020-09-29,Not-for-Profit,https://apps.ilsos.gov/corporatellc/,,,True,Dissolved,2022-11-10T14:48:24+00:00,2024-10-06T06:41:47+00:00,2024-10-03T00:00:00+00:00,https://opencorporates.com/companies/us_il/CORP_72173708,[],[],"{'publisher': 'The Illinois Secretary of State', 'url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'terms': 'Data Transparency Act', 'terms_url': 'https://www.ilsos.gov/data/bus_serv_home.html', 'retrieved_at': '2024-10-03T00:00:00+00:00'}",,,[],,72173708
